England and Wales Code,England and Wales,Country of birth (extended) (190 categories) Code,Country of birth (extended) (190 categories),Passports held (52 categories) Code,Passports held (52 categories),Observation
K04000001,England and Wales,3,Europe: United Kingdom: Scotland,47,Antarctica and Oceania: Australasia: Australia,27
K04000001,England and Wales,3,Europe: United Kingdom: Scotland,48,Antarctica and Oceania: Australasia: New Zealand,9
K04000001,England and Wales,3,Europe: United Kingdom: Scotland,49,Antarctica and Oceania: Other Antarctica and Oceania,0
K04000001,England and Wales,3,Europe: United Kingdom: Scotland,50,British Overseas Territories,1
K04000001,England and Wales,3,Europe: United Kingdom: Scotland,51,No passport held,69836
K04000001,England and Wales,4,Europe: United Kingdom: Wales,-8,Does not apply,0
K04000001,England and Wales,4,Europe: United Kingdom: Wales,1,Europe: United Kingdom,2161049
K04000001,England and Wales,4,Europe: United Kingdom: Wales,2,Europe: Ireland,1335
K04000001,England and Wales,4,Europe: United Kingdom: Wales,3,Europe: Other Europe: EU Member countries: France,141
K04000001,England and Wales,4,Europe: United Kingdom: Wales,4,Europe: Other Europe: EU Member countries: Germany,158
K04000001,England and Wales,4,Europe: United Kingdom: Wales,5,Europe: Other Europe: EU Member countries: Italy,282
K04000001,England and Wales,4,Europe: United Kingdom: Wales,6,Europe: Other Europe: EU Member countries: Portugal,398
K04000001,England and Wales,4,Europe: United Kingdom: Wales,7,Europe: Other Europe: EU Member countries: Spain,126
K04000001,England and Wales,4,Europe: United Kingdom: Wales,8,Europe: Other Europe: EU Member countries: Lithuania,226
K04000001,England and Wales,4,Europe: United Kingdom: Wales,9,Europe: Other Europe: EU Member countries: Poland,2702
K04000001,England and Wales,4,Europe: United Kingdom: Wales,10,Europe: Other Europe: EU Member countries: Romania,493
K04000001,England and Wales,4,Europe: United Kingdom: Wales,11,Europe: Other Europe: EU Member countries: Other EU countries,2013
K04000001,England and Wales,4,Europe: United Kingdom: Wales,12,Europe: Other Europe: Rest of Europe: Turkey,51
K04000001,England and Wales,4,Europe: United Kingdom: Wales,13,Europe: Other Europe: Rest of Europe: Other Europe,51
K04000001,England and Wales,4,Europe: United Kingdom: Wales,14,Africa: North Africa,92
K04000001,England and Wales,4,Europe: United Kingdom: Wales,15,Africa: Central and Western Africa: Ghana,14
K04000001,England and Wales,4,Europe: United Kingdom: Wales,16,Africa: Central and Western Africa: Nigeria,80
K04000001,England and Wales,4,Europe: United Kingdom: Wales,17,Africa: Central and Western Africa: Other Central and Western Africa,28
K04000001,England and Wales,4,Europe: United Kingdom: Wales,18,Africa: South and Eastern Africa: Kenya,2
K04000001,England and Wales,4,Europe: United Kingdom: Wales,19,Africa: South and Eastern Africa: Somalia,1
K04000001,England and Wales,4,Europe: United Kingdom: Wales,20,Africa: South and Eastern Africa: South Africa,13
K04000001,England and Wales,4,Europe: United Kingdom: Wales,21,Africa: South and Eastern Africa: Zimbabwe,17
K04000001,England and Wales,4,Europe: United Kingdom: Wales,22,Africa: South and Eastern Africa: Other South and Eastern Africa,30
K04000001,England and Wales,4,Europe: United Kingdom: Wales,23,Middle East and Asia: Middle East: Iran,12
K04000001,England and Wales,4,Europe: United Kingdom: Wales,24,Middle East and Asia: Middle East: Iraq,20
K04000001,England and Wales,4,Europe: United Kingdom: Wales,25,Middle East and Asia: Middle East: Other Middle East,80
K04000001,England and Wales,4,Europe: United Kingdom: Wales,26,Middle East and Asia: Eastern Asia: China,190
K04000001,England and Wales,4,Europe: United Kingdom: Wales,27,Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),5
K04000001,England and Wales,4,Europe: United Kingdom: Wales,28,Middle East and Asia: Eastern Asia: Japan,10
K04000001,England and Wales,4,Europe: United Kingdom: Wales,29,Middle East and Asia: Eastern Asia: Other Eastern Asia,6
K04000001,England and Wales,4,Europe: United Kingdom: Wales,30,Middle East and Asia: Southern Asia: Afghanistan,9
K04000001,England and Wales,4,Europe: United Kingdom: Wales,31,Middle East and Asia: Southern Asia: Bangladesh,38
K04000001,England and Wales,4,Europe: United Kingdom: Wales,32,Middle East and Asia: Southern Asia: India,207
K04000001,England and Wales,4,Europe: United Kingdom: Wales,33,Middle East and Asia: Southern Asia: Pakistan,87
K04000001,England and Wales,4,Europe: United Kingdom: Wales,34,Middle East and Asia: Southern Asia: Sri Lanka,27
K04000001,England and Wales,4,Europe: United Kingdom: Wales,35,Middle East and Asia: Southern Asia: Other Southern Asia,6
K04000001,England and Wales,4,Europe: United Kingdom: Wales,36,Middle East and Asia: South-East Asia: Malaysia,57
K04000001,England and Wales,4,Europe: United Kingdom: Wales,37,Middle East and Asia: South-East Asia: Philippines,41
K04000001,England and Wales,4,Europe: United Kingdom: Wales,38,Middle East and Asia: South-East Asia: Singapore,1
K04000001,England and Wales,4,Europe: United Kingdom: Wales,39,Middle East and Asia: South-East Asia: Other South-East Asia,41
K04000001,England and Wales,4,Europe: United Kingdom: Wales,40,Middle East and Asia: Central Asia,0
K04000001,England and Wales,4,Europe: United Kingdom: Wales,41,The Americas and the Caribbean: North America: Canada,19
K04000001,England and Wales,4,Europe: United Kingdom: Wales,42,The Americas and the Caribbean: North America: United States,54
K04000001,England and Wales,4,Europe: United Kingdom: Wales,43,The Americas and the Caribbean: Central America,5
K04000001,England and Wales,4,Europe: United Kingdom: Wales,44,The Americas and the Caribbean: South America,19
K04000001,England and Wales,4,Europe: United Kingdom: Wales,45,The Americas and the Caribbean: The Caribbean: Jamaica,2
K04000001,England and Wales,4,Europe: United Kingdom: Wales,46,The Americas and the Caribbean: The Caribbean: Other Caribbean,1
